candidate,literature_similarity,known_mechanism,new_combination,new_hypothesis,new_empirical_law,param_cost,expected_gain,risk,status
k-means anchors (danc) as-is,HIGH - YOLOv3+ standard YOLOPv2 uses k-means anchors,YES,no,no,no,zero,already banked (+0.14 mAP50 20ep 2-seed),not novel alone,BANKED - not a paper claim; direction now reproduced cross-arch (Round 3 A0->A2 +0.1993 mAP50)
capacity-supervision coupling (H-34),LOW-MED - ATSS/SimOTA ignore capacity interaction,PARTIAL (assignment known),no,YES - does assignment matter more as capacity shrinks,possible,zero,unknown - could reframe tiny-det training,4ep findings reversed twice before,SUPERSEDED by H-36. Round 4 adds a SCOPE LIMIT to the successor: the substitution is supervision x encoder-capacity only. On the lane-resolution axis the anchor lever is additive (interaction -0.0052 < 2sigma).
task-conditional channel-vs-spatial allocation (EXP-01 H-35),MED - EfficientNet balances dims single-task; per-task binding order not found,no,YES,YES,not established,budget-parity by design,quantifiable gain-per-FLOP,Round 3 H2 WEAK - advantage +0.0019 = 0.20x floor on a lane-saturated backbone,"DOWNGRADED -- and Round 4 turns the diagnosis into a measured boundary. On the lane axis WIDTH is inert (1/4 h16 reproduces 1/4 h32: 0.5959 vs 0.5951, within 2sigma, at -28.9% FLOPs; h8 is a hard floor with a deterministic collapse) while RESOLUTION is the operative variable. So 'channel-vs-spatial' does not survive as a task-conditional claim; what survives is the much narrower 'resolution over width' cost rule."
bottleneck-profile-derived asymmetric architecture (H-32/H-33),MED - YOLOPv2 asymmetric decoders heuristic,YES (asymmetry known),YES - profile-derived + budget-parity,YES,partial (gain-per-FLOP law),parity-enforced,moderate,drift into module-stacking,"DEAD as a module-first claim -- re-expressed as H-37. Round 4 measured the naive spatial-heavy reading against its own cost-stripped variant: S (1.6391G) vs B (1.1656G) differ by at most 0.0003 mAP50 / 0.0008 lane_mIoU / 0.0012 DA, i.e. S is equivalent to B within the frozen noise scale while costing +40.6% FLOPs. F6 PASS, F8 FAIL."
cross-architecture supervision/assignment bottleneck (Round 3 H1),MED - assignment studied in detection but rarely as a capacity-independent MTL bottleneck,YES (anchors/assignment known),YES - same ruler on two architectures,YES - assignment limits accuracy independently of capacity,partial - direction and mechanism transfer but not magnitude,zero (pure training config),no new params,may weaken architecture-level novelty if the bottleneck is a config choice,"ESTABLISHED (2 architectures, ruler held fixed) -- this is the axis the Round 4 allocation rule is anchored on. Its weakness is that the bottleneck may be a training-config choice rather than an architecture property; Round 4 answers that by pricing the config choice against capacity"
dual-Z low/high (H-25),HIGH - FPN/HRNet family,YES,partial,no,no,+0.5-1.0 GFLOPs,unknown,cost + collision,DEFER round 2
dynamic lane resolution per-image (H-27),MED-HIGH - DRNet NeurIPS21 spatial sampling ECCV20,YES (classification),YES - task-conditional MTL driving,no yet,none,oracle=0 net=high,unknown,oracle may show all images need 1/4,GATED on offline oracle study
sparse 1/4 lane refinement (H-29),MED - foveated/sparse inference known,YES,YES - lane-region-conditioned MTL,partial,none,+0.1-0.3 GFLOPs,unknown,needs H-23 dense first,GATED on H-23
spatial routing (H-26),HIGH - AdaShare ETR TaskPrompter,YES,partial,no,no,router params,unknown,weak evidence + high collision,DEPRIORITIZED
supervision-capacity substitution at extreme compression (H-36 / EXP-09C),MED -- assignment is heavily studied; the capacity interaction is not,PARTIAL (better assignment helps small objects -- YOLO26 STAL and the DALA/RLA family),YES -- both levers measured in the same factorial at fixed params/FLOPs,YES -- supervision and capacity compete for the same headroom,partial -- one architecture for the law itself; Round 4 supplies the scope boundary (substitution is lever-specific) at 3 seeds,zero inference cost (training config only),high-capacity d_anchor = -0.0007 vs low-capacity +0.1428,screening tier needs seed extension before any external claim,"ESTABLISHED (Round 4 did NOT extend it - it BOUNDED it). EXP-13 completed the second 2x2 at 3 seeds (D7 fixed) and shows the substitution lives on the encoder-capacity axis only: interaction on the lane axis = -0.0052 (< 2sigma) ADDITIVE. New empirical content = the scope restriction, not a stronger law."
marginal-price resource allocation at extreme multi-task compression (H-37 / Round 4),MED-HIGH -- MDANet (IEEE TITS 2026) and MT-TPPNet (Computers 2025) are adjacent and share the vocabulary,partial (per-dimension allocation and asymmetric projections are known),YES -- allocation derived from measured marginal prices under budget parity,"YES -- an allocation RULE, not a module",not established,budget-parity by construction; zero new model code,"-28.9% FLOPs vs the naive spatial-heavy model at lane/det parity: MEASURED, F6 PASS. Detection win: MEASURED FALSE (U wins). Domination of published baselines: NOT ACHIEVED - TriLiteNet tiny DA 0.8796 vs ours 0.8629; TLP nano matches us at 1/10 params.",the lane axis has only ONE architecture of support (Round 3 H2 WEAK); detection on ours does not beat published tiny models; F4 failed so the level ladder is not satisfied,"TESTED, Round 4 closed 2026-09-13 -> UNRESOLVED (6 PASS / 2 FAIL), bounded strictly between Level 2 and Level 3. What may be claimed: (a) the measured marginal-price table, (b) B == S at -28.9% FLOPs, (c) the lane repair's POSITIVE floor (+5.54% FLOPs) plus the h8 deterministic floor. What may NOT be claimed: domination of uniform expansion (U wins detection +0.0404 at x1.73 params) or of any published method."
