exp_id,question,status,key_result,evidence_tier,artifact,phase,subphase,step
EXP-01,Is spatial capacity interchangeable with channel capacity under equal FLOPs?,DONE (4ep x2 controls + l14f1 20ep),spatial@1/4 beats channels@1/8 in BOTH parity controls (l14f1 lane_fg 0.1916 vs lch72 0.1831 @0.3% FLOPs gap; vs lch64 0.1778 @cheaper arm); individually sub-noise at 4ep but sign-consistent; l14f1 20ep = 1.95x noise (WEAK),SUPPORTED-provisional,"phase5_lane_probe_results.csv, phase6_results.csv",Phase 6,6A,P6A-STEP2
EXP-02,Can a minimal high-res branch break the 1/8 ceiling?,DONE via l14f1 20ep,lane_mIoU 0.5847->0.5988 (+1.95x noise, missed 2x bar by 0.0007) - direction real, magnitude modest,Phase 6,6A,P6A-STEP3
EXP-03,Is assignment quality amplified in tiny models?,DONE (zero-training),old anchors: ~50% zero-positive holes at ALL sizes; k-means: <5.5% everywhere; mean best-IoU 0.405->0.678; coupling (H-34) stated as hypothesis pending cross-capacity factorial,SUPPORTED (assignment fix real) / H-34 OPEN,phase6_exp3_assignment.csv,Phase 6,6A,-
EXP-04,Does the anchor intervention generalize beyond its home config?,PARTIAL,replicates across r2-family configs via default sync (lane8 0.4870, da14 0.4076 @4ep); non-R2 architecture pending,SUPPORTED within R2-family,Phase 6,6A,P6A-STEP2
EXP-05,Is DA's real bottleneck far-field semantics/data?,DONE via Phase5 synthesis (no new compute),far-field collapse was letterbox artifact (bands agree within noise post-crop); bottleneck = region-level semantic identification: model 0.11 BELOW its own 1/8 block-fill reference; do NOT design far-field models,H-18 SUPPORTED,"phase5_da_analysis.csv, PHASE5_BOTTLENECK_MAP.md",Phase 6,6A,-
EXP-06,Cost model for shared-lowres + lane-highres prototype,DONE (measured not simulated),combo = 0.2019M / 1.6391G: every FLOP increase lands on a measured bottleneck (lane spatial); det gain free,VALIDATED,phase6_candidate_cost.csv,Phase 6,6A,-
EXP-07,Does assignment/supervision quality change the marginal value of representation capacity (capacity x supervision coupling)?,DONE (4ep screening; gate FAILED -> 20ep confirmation NOT launched),"screening seed0 mAP50: z16_old 0.3879 / z16_km 0.3917 / z32_old 0.4161 / z32_km 0.4035 -> dCap(old)=+0.0282, dCap(km)=+0.0118, interaction=-0.0164 = 1.12x pre-registered 4ep noise (0.0146) -> BELOW the 2x gate; interaction is NEGATIVE in 13/13 metric faces (mAP50/mAP50-95/DA/lane + per-size AP50/AP95/recall), i.e. direction systematically CONTRADICTS H-34; largest face = det_AP50_large -0.0936 (no pre-registered noise scale for that face, so it cannot be converted to sigma); gate not met -> 20ep NOT run","REJECTED at screening tier (H-34 direction contradicted, magnitude sub-threshold)","phase6_round2_factorial.csv, phase6_round2_statistics.csv, phase6_round2_decision.md",Phase 6,6B,P6B-STEP1
EXP-08,"At ~equal FLOPs/params, does bottleneck-aware asymmetric allocation beat uniform capacity expansion?",DONE (A-uniform seed0 + B/C 3-seed; A seeds 1-2 not run),"B vs C is the round's ONLY strict single-variable contrast: the two configs differ only by the anchors: block (identical 0.2019M / 1.6391G) -> det +0.1392 (29.2 sigma), mAP50-95 +0.0882 (29.3 sigma), lane -0.0030 (1.6 sigma), DA +0.0002 (0.2 sigma) => anchor assignment is a zero-cost major detection lever. A-uniform det 0.5339 > C-asym 0.4981 (+0.0358, ~6 sigma using C's 3-seed sd) BUT A carries +65.8% params AND keeps the OLD anchors -> asymmetric does NOT beat uniform on the FLOPs axis, yet the allocation-shape attribution stays UNRESOLVED because A is not params-matched. B (spatial-heavy, +52% FLOPs over ref, old anchors) det 0.3588 ~= ref 0.3543 -> the extra FLOPs on the lane branch buy no detection at all. Pareto: B is dominated by C on both axes; C is flagged non-dominated vs A only on a 1.58% FLOPs edge that sits INSIDE the +/-5% parity band",PARTIAL: uniform-beats-asymmetric on the FLOPs axis NOT SUPPORTED-for-asym (i.e. asym loses); allocation-shape attribution UNRESOLVED (A not params-matched); anchor-only zero-cost gain CONFIRMED,"phase6_equal_budget.csv, phase6_round2_statistics.csv, phase6_round2_decision.md",Phase 6,6B,P6B-STEP1
EXP-09,Does the supervision/assignment bottleneck transfer to a second architecture under the SAME matching ruler?,"DONE (chain l88qFb 11:53->16:49, 4h56m, 6 arms, zero interruption)","two-architecture: R2 +0.14 mAP50 @20ep/2 seeds and YOLOP +0.1993 @11643 steps, ruler fixed at 0.5<box/anchor<2.0; zero-training instrument on the 2nd architecture is exact (zero_pos_rate 0.4941/0.1666/0.0374 = 47.6x floor, mAP50 0.5407/0.6846/0.7400 = 20.8x floor). Direction and mechanism transfer; MAGNITUDE does NOT (0.14@20ep vs 0.1993@11.6k steps are different budgets/models) and is not claimed to. Lane sub-block H2 = WEAK SUPPORT (spatial advantage +0.0019 = 0.20x floor, ladder non-monotone on a saturated head)","SUPPORTED (H1, dual-architecture) / WEAK (H2) / Case C -> REVISE","phase6_round3_trained.csv, phase6_round3_decision.md, phase6_round3_preregistration.md",Phase 6,6C,P6C-STEP3
EXP-10,How much compute is the minimum needed to break the 1/8 lane spatial bottleneck? (allocation ladder + resolution-only control),"DONE (Round 4 stage A, 3 arms x 20ep seed0; chain closed 2026-09-13 09:40:39)","ladder MEASURED, and the pre-registered prediction P2 is REFUTED. lane_mIoU: 1/8 h32 = 0.5827 (3 seeds) -> 1/4 h32 = 0.5951 (+0.0124) -> 1/4 h16 = 0.5946/0.5936/0.5994 (3 seeds, mean 0.5959, +0.0132 >= 2sigma) at only +8.0% FLOPs -> 1/4 h8 = 0.4959 with lane_fg_iou = 0.0000 (DEAD). So resolution is the operative variable and width is inert (h16 reproduces h32) -- but the repair has a POSITIVE floor (+5.54% FLOPs for h16 without lateral), NOT the predicted 'zero or negative'. The h8 collapse is deterministic, not noise: two independent trunks (lean R3min and uniform U-minus) output the SAME 0.4959 / fg 0.0, and 0.9917 pixel-acc with (0.9917+0)/2 = 0.49585 is the all-background signature; eval loaded 257 keys with missing=0/unexpected=0. F5 = PASS (up-only 0.5923 >= 0.5913) but only at h32.",CONFIRMED (ladder measured; P2 refuted; h8 floor triple-checked),"phase6_round4_preregistration.md section 4/6, phase6_round4_cost.csv",Phase 6,6D,P6D-STEP1
EXP-11,Does integrating the supervision intervention change accuracy with model params AND architecture FLOPs held identical?,COMPLETE (3-seed means; F3 recomputed after the D7 relabel),"implementation isolation PROVEN not asserted (parsed-YAML model-tree delta = {detection.anchors} for both capacity levels; params identical to the digit; FLOPs identical to 4 decimals). Measured effect at lean capacity: F3 = 0.4950 - 0.3505 = +0.1445 mAP50 (2sigma = 0.0096, ~15sigma). The Round-4 report's earlier value 0.0462 was computed against the D7-contaminated group mean (two arms labelled 'old' had actually trained with the code-default k-means anchors); D7 is now closed EMPIRICALLY: the genuine old-anchor arms landed at 0.3452 / 0.3521, both inside 2sigma of the historical seed0 0.3543, while the mislabelled pair sits 15sigma away. The report now carries a fail-loud guard that refuses to emit any verdict if a base_* cell reads like k-means.","CONFIRMED (F3 PASS, 15 sigma, 3 seeds, isolation proven)","scripts/phase6_round4_isolation_check.py, scripts/phase6_round4_report.py",Phase 6,6D,P6D-STEP2
EXP-12,"At ~equal budget, which resource allocation wins: uniform capacity expansion, naive spatial-heavy, or cost-stripped asymmetric?","DONE (4 competing models, all seeds landed; Round 4 closed 2026-09-13)","Pareto front, no domination - and the 'free asymmetric allocation' candidate is refuted WITHOUT training. U uniform 0.3339M/1.6650G mAP50 0.5382; S naive full 1/4 0.2019M/1.6391G 0.4981; B thin 1/4 h16 0.1926M/1.1656G 0.4978 (3 seeds each); U-minus uniform+1/4 h8 0.3224M/1.6158G DEAD on the h8 floor. B == S on all three axes within the frozen noise scale (max |d| = 0.0003 mAP50 = 0.03 sigma) at -28.9% FLOPs => F6 PASS. U still wins detection (+0.0404 = +8.1%) but costs x1.73 params / x1.43 FLOPs, so there is NO domination either way; B leads on per-FLOP utility by +32% (+45% on lane). F8 FAIL is structural: rebuilding U-minus at h16 costs 1.7248G (no lateral) or 1.7641G (with lateral), both > U 1.6650G, so no uniform option can host a free lane repair (scripts/phase6_round4b_cost_probe.py, zero GPU).","COMPLETE / PARTIAL claim: Pareto trade-off CONFIRMED, domination NOT SUPPORTED",phase6_round4_preregistration.md section 5/7,Phase 6,6D,P6D-STEP3
